City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Mataura,NZ,46.06,light rain,-46.1927,168.8643,Ellie's Villa
7,Ushuaia,AR,40.66,few clouds,-54.8,-68.3,Albatross Hotel
10,Tasiilaq,GL,39.36,broken clouds,65.6145,-37.6368,The Red House
26,Leningradskiy,RU,43.9,broken clouds,69.3833,178.4167,Gostinitsa
30,Busselton,AU,49.26,overcast clouds,-33.65,115.3333,Observatory Guest House
35,Longyearbyen,SJ,35.44,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
40,Bluff,NZ,47.5,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
50,Khatanga,RU,40.42,overcast clouds,71.9667,102.5,"""Khatanga"""
57,Tinskoy,RU,49.75,overcast clouds,56.1525,96.9161,"Kemping ""Turist"""
72,Punta Arenas,CL,44.71,broken clouds,-53.15,-70.9167,Hotel Hain
73,Hokitika,NZ,49.41,overcast clouds,-42.7167,170.9667,Beachfront Hotel Hokitika
81,Upernavik,GL,42.48,moderate rain,72.7868,-56.1549,Café de Upernavik
96,Qaanaaq,GL,33.24,clear sky,77.484,-69.3632,Qaanaaq Hotel
102,Berlevag,NO,49.95,overcast clouds,70.8578,29.0864,Kvitbrakka
105,New Norfolk,AU,49.91,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
109,Barrow,US,39.22,mist,71.2906,-156.7887,King Eider Inn
130,Pangnirtung,CA,40.86,light rain,66.1451,-65.7125,Kilabuk Lodge
134,Kaitangata,NZ,49.42,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
139,Kuusamo,FI,48.24,clear sky,65.9667,29.1833,Hotel Kuusanka
142,Ancud,CL,40.23,broken clouds,-41.8697,-73.8203,Hotel Arena Gruesa
151,Mehamn,NO,49.91,light intensity drizzle,71.0357,27.8492,Mehamn Arctic Hotel AS
153,Pevek,RU,43.68,overcast clouds,69.7008,170.3133,Severnoye Zoloto
159,Broken Hill,AU,50.0,clear sky,-31.95,141.4333,Royal Exchange Hotel
177,Klyuchi,RU,49.46,clear sky,52.2667,79.1667,Vesolaya Mayovka
200,Qasigiannguit,GL,41.25,light rain,68.8193,-51.1922,Almost HOME
203,Stornoway,GB,48.92,few clouds,58.2093,-6.3865,Caladh Inn
209,Hofn,IS,49.21,light rain,64.2539,-15.2082,Hótel Höfn
213,Tiksi,RU,44.71,overcast clouds,71.6872,128.8694,Arktika
241,Vardo,NO,49.98,broken clouds,70.3705,31.1107,Vardø Hotel AS
250,Coihaique,CL,42.75,broken clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
253,Onguday,RU,43.57,broken clouds,50.75,86.15,Barskaya Usad'ba
262,Clyde River,CA,35.83,light rain,70.4692,-68.5914,Qamaq Hotel
292,Husavik,IS,46.56,broken clouds,66.0449,-17.3389,Bjarnabúð
322,Udachnyy,RU,44.46,overcast clouds,66.4167,112.4,Severnoye Siyaniye
335,Nuristan,AF,45.52,overcast clouds,35.3,70.8333,لَکچُک هوټل
350,Astana,KZ,44.55,clear sky,51.1801,71.446,King Hotel Astana
351,Ylivieska,FI,49.87,overcast clouds,64.0833,24.55,hotel Käenpesä
354,Olafsvik,IS,48.09,scattered clouds,64.8945,-23.7142,Hotel Olafsvik
390,Deputatskiy,RU,42.37,overcast clouds,69.3,139.9,Baza Otdykha
392,Ilulissat,GL,37.45,light rain,69.2167,-51.1,Hotel Arctic
396,Iqaluit,CA,42.53,light rain,63.7506,-68.5145,Frobisher Inn
405,Zyryanovsk,KZ,45.95,clear sky,49.7386,84.2719,Гостиница «ЭВЕРЕСТ»
406,Atocha,BO,40.78,clear sky,-20.9333,-66.2333,ALOJAMIENTO RESTAURANT BARQUITO
411,Nuuk,GL,41.88,broken clouds,64.1835,-51.7216,Vandrehuset
426,Sorata,BO,42.91,overcast clouds,-15.7667,-68.6333,El Encanto Sorata
438,Havoysund,NO,48.43,overcast clouds,70.9963,24.6622,Arctic View Glamping & Restaurant
459,Mezhdurechensk,RU,44.44,few clouds,53.6942,88.0603,Apartments Mezhdurechensk
462,Sisimiut,GL,41.67,broken clouds,66.9395,-53.6735,Hotel Sisimiut
464,Belyy Yar,RU,40.89,clear sky,53.6039,91.3903,Pasportnyy Stol
468,Nanortalik,GL,43.97,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
477,Comodoro Rivadavia,AR,46.26,clear sky,-45.8667,-67.5,Austral Hotel
505,Khandyga,RU,45.9,overcast clouds,62.6667,135.6,Apel'sin
538,Alice Springs,AU,47.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
552,Zhigansk,RU,46.71,scattered clouds,66.7697,123.3711,Gostinichnyy Kompleks Aylgy
557,Darhan,MN,48.49,broken clouds,49.4867,105.9228,Buudai Hotel
581,Axams,AT,47.64,few clouds,47.2081,11.2869,Hotel Olympia
608,Narsaq,GL,45.27,overcast clouds,60.9167,-46.05,Sleep In Narsaq
618,Mandalgovi,MN,47.64,scattered clouds,45.7625,106.2708,В.Ганбат
622,Uyuni,BO,39.49,clear sky,-20.4597,-66.825,Hostal La Magia de Uyuni
636,Dunedin,NZ,48.18,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
652,Tuatapere,NZ,46.38,overcast clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
667,Muhos,FI,49.78,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
673,Andenes,NO,49.98,overcast clouds,69.3143,16.1194,Hotell Marena
675,Zima,RU,46.35,overcast clouds,53.9202,102.0442,"""Na Uglu"""
